pair,model_name,verified,distance,threshold,confidence,distance_metric,detector_backend,error,face_id,prompt
original_vs_perturbed_best_input,ArcFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
original_vs_perturbed_best_input,Facenet512,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
original_vs_perturbed_best_input,SFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
original_vs_perturbed_final_input,ArcFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
original_vs_perturbed_final_input,Facenet512,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
original_vs_perturbed_final_input,SFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
clean_edit_vs_perturbed_best_edit,ArcFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
clean_edit_vs_perturbed_best_edit,Facenet512,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
clean_edit_vs_perturbed_best_edit,SFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
clean_edit_vs_perturbed_final_edit,ArcFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
clean_edit_vs_perturbed_final_edit,Facenet512,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
clean_edit_vs_perturbed_final_edit,SFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
original_input_vs_clean_edit,ArcFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
original_input_vs_clean_edit,Facenet512,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
original_input_vs_clean_edit,SFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
perturbed_best_input_vs_perturbed_best_edit,ArcFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
perturbed_best_input_vs_perturbed_best_edit,Facenet512,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
perturbed_best_input_vs_perturbed_best_edit,SFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add black sunglasses
original_vs_perturbed_best_input,ArcFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add headphones
original_vs_perturbed_best_input,Facenet512,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add headphones
original_vs_perturbed_best_input,SFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add headphones
original_vs_perturbed_final_input,ArcFace,,,,,cosine,skip,DeepFace import failed: ValueError('You have tensorflow 2.21.0 and this requires tf-keras package. Please run `pip install tf-keras` or downgrade your tensorflow.'),face_002,add headphones
